Brand,Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R (Up to, in MB/s)","W (Up to, in MB/s)",Categories,Notes (*)
Colorful,SL500,SATA/AHCI,"2.5""",1920GB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Intel,TLC,32,500,400,Entry-Level SATA,
Colorful,SL500,SATA/AHCI,"2.5""",2TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Intel,TLC,32,500,400,Entry-Level SATA,
Corsair,EX100U,USB 3.2 Gen 2x2,USB-C,512GB,Phison U18,"Single-CPU, 2-ch, 8-CE/ch",No,No,Kioxia,TLC,112,1600,1500,Entry-Level NVMe,Portable
Corsair,EX100U,USB 3.2 Gen 2x2,USB-C,1TB,Phison U18,"Single-CPU, 2-ch, 8-CE/ch",No,No,Kioxia,TLC,112,1600,1500,Entry-Level NVMe,Portable
Corsair,EX100U,USB 3.2 Gen 2x2,USB-C,2TB,Phison U18,"Single-CPU, 2-ch, 8-CE/ch",No,No,Kioxia,TLC,112,1600,1500,Entry-Level NVMe,Portable
Corsair,EX100U,USB 3.2 Gen 2x2,USB-C,4TB,Phison U18,"Single-CPU, 2-ch, 8-CE/ch",No,No,Kioxia,TLC,112,1600,1500,Entry-Level NVMe,Portable
Corsair,MP300,x2 PCIe 3.0/NVMe,M.2,120GB,Phison E8,"Dual-core, 4-ch, 8-CE/ch",Yes,No,Kioxia,TLC,64,1600,1080,Entry-Level NVMe,
Corsair,MP300,x2 PCIe 3.0/NVMe,M.2,240GB,Phison E8,"Dual-core, 4-ch, 8-CE/ch",Yes,No,Kioxia,TLC,64,1600,1080,Entry-Level NVMe,
Corsair,MP300,x2 PCIe 3.0/NVMe,M.2,480GB,Phison E8,"Dual-core, 4-ch, 8-CE/ch",Yes,No,Kioxia,TLC,64,1600,1080,Entry-Level NVMe,
Corsair,MP300,x2 PCIe 3.0/NVMe,M.2,960GB,Phison E8,"Dual-core, 4-ch, 8-CE/ch",Yes,No,Kioxia,TLC,64,1600,1080,Entry-Level NVMe,
Corsair,MP400,x4 PCIe 3.0/NVMe,M.2,1TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Intel,QLC,96,3400,3000,Mid-Range NVMe,
Corsair,MP400,x4 PCIe 3.0/NVMe,M.2,2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Intel,QLC,96,3400,3000,Mid-Range NVMe,
Corsair,MP400,x4 PCIe 3.0/NVMe,M.2,4TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Intel,QLC,96,3400,3000,Mid-Range NVMe,
Corsair,MP400,x4 PCIe 3.0/NVMe,M.2,8TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Intel,QLC,96,3400,3000,Mid-Range NVMe,
