Name,Type,Color,Power Supply,Side Panel,External volume,"Internal 3.5"" bays",Rating,Price
Montech KING 95 PRO,ATX Mid Tower,White,None,Tempered Glass,63,5,20,169
Fractal Design Pop XL Silent,ATX Full Tower,Black,None,None,62.4,3,1,109.99
Asus ROG Strix Helios II Hatsune Miku Edition,ATX Mid Tower,Teal / Pink,None,Tempered Glass,83.5,2,1,429.99
DIYPC ARGB-M1,MicroATX Mini Tower,Black,None,Tempered Glass,40.8,2,2,54.94
Okinos Air Cross,ATX Mid Tower,Black / Brown,None,Tempered Glass,51.5,1,2,85.99
Fractal Design Meshify 3 XL Ambience Pro RGB,ATX Full Tower,Black,None,Tinted Tempered Glass,72.6,2,3,274.99
Thermaltake The Tower 600,ATX Mid Tower,Black,None,Tempered Glass,66.2,1,2,159.99
HYTE Y60,ATX Mid Tower,Black,None,Tempered Glass,60,2,28,159.99
Phanteks EVOLV X2,ATX Mid Tower,White,None,Tempered Glass,60.9,2,3,109.99
HAVN HS420,ATX Mid Tower,Black,None,Tempered Glass,76.8,5,4,249.99
Cooler Master MasterBox NR200,Mini ITX Desktop,White / Black,None,None,20.3,2,44,80.76
MSI MAG FORGE M100R,MicroATX Mini Tower,Black,None,Tempered Glass,32.8,2,7,
Lian Li O11 Dynamic EVO,ATX Mid Tower,Black,None,Tinted Tempered Glass,60.8,6,52,
Fractal Design Meshify 3 XL,ATX Full Tower,Black,None,None,72.6,2,1,184.99
Aerocool Prism V3 ARGB,ATX Mid Tower,Black,None,Tempered Glass,41.7,2,1,
Phanteks ECLIPSE G500A DRGB,ATX Mid Tower,White,None,Tempered Glass,61.8,2,4,59.99
Corsair FRAME 5000D RS,ATX Mid Tower,Black,None,Tempered Glass,75.3,2,0,159.99
Cooler Master Elite 301 Lite,MicroATX Mini Tower,Black,None,Tempered Glass,34.1,1,0,56.06
Asus ProArt PA602 Wood Edition,ATX Mid Tower,Black / Brown,None,Tempered Glass,81.4,4,0,289.99
HYTE Gundam Wing Y70 Touch Infinite,ATX Mid Tower,White / Gold,None,Tempered Glass,70.7,2,0,499.99
