System,Brand,Range,,Type,Mount,Lens,,FL (mm),Max FL (mm),Max. Aper.,Filter (mm),MFD (cm),Diam. (mm),Diam. (in.),Length (mm),Length (in.),Weight (g),Weight (oz),IS,WR,Elements,Blades,Current Price,,Notes,Launch Year,Launch Price (USD),Source URL
Sony,SongRaw,Prime,01/04/2025,,E,AF 50mm F1.2,01/04/2025,50,1.2,,72,,90,,129,,900,,No,,,,,01/04/2025,,2025,700,https://www.songraw.com
Sony,Tamron,Prime,01/10/2019,,E,20mm F2.8 Di III OSD M1:2,01/10/2019,20,2.8,,67,,73,,64,,220,,No,,,,,01/10/2019,,2019,350,https://www.tamron.com
Sony,Tamron,Prime,01/10/2019,,E,24mm F2.8 Di III OSD M1:2,01/10/2019,24,2.8,,67,,73,,64,,215,,No,,,,,01/10/2019,,2019,350,https://www.tamron.com
Sony,Tamron,Prime,01/10/2019,,E,35mm F2.8 Di III OSD,01/10/2019,35,2.8,,67,,73,,64,,210,,No,,,,,01/10/2019,,2019,350,https://www.tamron.com
Sony,Tamron,Prime,01/10/2024,,E,90mm F2.8 Di III MACRO VXD,01/10/2024,90,2.8,,67,,79.2,,126.5,,630,,No,,,,,01/10/2024,,2024,700,https://www.tamron.com
Sony,Tokina,Prime,01/04/2018,,E,FíRIN 20mm F2 FE AF,01/04/2018,20,2,,62,,73.8,,81.5,,464,,No,,,,,01/04/2018,,2018,500,https://www.tokinalens.com
Sony,Tokina,Prime,01/01/2020,,E,atx-m 85mm F1.8 FE,01/01/2020,85,1.8,,72,,93.23,,80,,645,,No,,,,,01/01/2020,,2020,600,https://www.tokinalens.com
Sony,Tokina,Prime,01/04/2019,,E,FíRIN 100mm F2.8 FE MACRO,01/04/2019,100,2.8,,55,,74,,123,,570,,No,,,,,01/04/2019,,2019,600,https://www.tokinalens.com
Sony,TTArtisan,Prime,01/08/2025,,E,AF 40mm F2,01/08/2025,40,2,,52,,61,,44,,167,,No,,,,,01/08/2025,,2025,200,https://www.ttartisan.com
Sony,TTArtisan,Prime,01/09/2024,,E,AF 75mm F2,01/09/2024,75,2,,62,,67,,74,,328,,No,,,,,01/09/2024,,2024,350,https://www.ttartisan.com
Sony,Viltrox,Prime,01/09/2025,,E,AF 14mm F4.0 Air,01/09/2025,14,4,,58,,65,,56.4,,170,,No,,,,,01/09/2025,,2025,280,https://www.viltrox.com
Sony,Viltrox,Prime,01/05/2023,,E,AF 161.8 FE,01/05/2023,16,1.8,,77,,85,,103,,560,,No,,,,,01/05/2023,,2023,550,https://www.viltrox.com
Sony,Viltrox,Prime,01/10/2023,,E,AF 202.8 FE,01/10/2023,20,2.8,,52,,65,,59.5,,157,,No,,,,,01/10/2023,,2023,350,https://www.viltrox.com
Sony,Viltrox,Prime,01/12/2020,,E,AF 241.8 FE,01/12/2020,24,1.8,,55,,70,,85,,340,,No,,,,,01/12/2020,,2020,400,https://www.viltrox.com
Sony,Viltrox,Prime,01/08/2023,,E,AF 281.8 FE,01/08/2023,28,1.8,,55,,70,,88.2,,367,,No,,,,,01/08/2023,,2023,400,https://www.viltrox.com
Sony,Viltrox,Prime,01/10/2024,,E,AF 28mm F4.5 FE,01/10/2024,28,4.5,,No,,60.3,,15.3,,60,,No,,,,,01/10/2024,,2024,200,https://www.viltrox.com
Sony,Viltrox,Prime,01/04/2025,,E,AF 35mm F1.2 LAB,01/04/2025,35,1.2,,77,,89.2,,121.8,,910,,No,,,,,01/04/2025,,2025,900,https://www.viltrox.com
Sony,Viltrox,Prime,01/12/2021,,E,AF 351.8 FE,01/12/2021,35,1.8,,55,,70,,88.2,,340,,No,,,,,01/12/2021,,2021,400,https://www.viltrox.com
Sony,Viltrox,Prime,01/08/2024,,E,AF 40mm F2.5,01/08/2024,40,2.5,,52,,65,,59.5,,167,,No,,,,,01/08/2024,,2024,300,https://www.viltrox.com
